ID,Name,Category,Price,OriginalPrice,Stock,Description,Image,Certificate,Featured
RT10,RETATRUTIDE 10mg,peptides,520000,,100,"RETATRUTIDE 10mg es un péptido de acción múltiple que actúa sobre los receptores GIP, GLP-1 y GLUCAGON, diseñado para maximizar la pérdida de grasa, mejorar el control glucémico y potenciar el metabolismo de forma integral.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=RETATRUTIDE,,FALSE
RT20,RETATRUTIDE 20mg,peptides,1000000,,100,"RETATRUTIDE 20mg es un péptido de acción múltiple que actúa sobre los receptores GIP, GLP-1 y GLUCAGON, diseñado para maximizar la pérdida de grasa, mejorar el control glucémico y potenciar el metabolismo de forma integral.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=RETATRUTIDE,,FALSE
RT40,RETATRUTIDE 40mg,peptides,1800000,,100,"RETATRUTIDE 40mg es un péptido de acción múltiple que actúa sobre los receptores GIP, GLP-1 y GLUCAGON, diseñado para maximizar la pérdida de grasa, mejorar el control glucémico y potenciar el metabolismo de forma integral.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=RETATRUTIDE,,FALSE
RT60,RETATRUTIDE 60mg,peptides,2200000,,100,"RETATRUTIDE 60mg es un péptido de acción múltiple que actúa sobre los receptores GIP, GLP-1 y GLUCAGON, diseñado para maximizar la pérdida de grasa, mejorar el control glucémico y potenciar el metabolismo de forma integral.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=RETATRUTIDE,,FALSE
CGL10,CAGRILINTIDE 10mg,peptides,600000,,100,"La Cagrilintide es un péptido análogo de la amilina, una hormona que el cuerpo produce naturalmente junto con la insulina. Su función principal es ayudar a controlar el apetito, aumentar la sensación de saciedad y ralentizar el vaciamiento gástrico, haciendo que la persona coma menos y se sienta satisfecha por más tiempo.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=CAGRILINTIDE,,FALSE
RC10,Retatrutide 5mg + Cagrilintide 5mg,stacks,900000,,100,"La combinación de Retatrutide y Cagrilintide representa una estrategia metabólica avanzada enfocada en pérdida de grasa, control del apetito y mejora de la salud metabólica. La Retatrutide actúa sobre tres receptores clave (GLP-1, GIP y glucagón), ayudando a oxidar grasa, mejorar la sensibilidad a la insulina y aumentar el gasto energético. Por otro lado, la Cagrilintide potencia la sensación de saciedad y reduce significativamente el hambre y la ansiedad por comida.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=STACK,,FALSE
TSM10,TESAMORELIN 10mg,peptides,400000,,100,"La Tesamorelin es un péptido análogo de la hormona liberadora de hormona de crecimiento (GHRH), diseñado para estimular de forma natural la producción de hormona de crecimiento en el organismo. Sus principales beneficios están relacionados con la reducción de grasa visceral, mejora de la composición corporal y apoyo metabólico. Además, puede ayudar a mejorar la recuperación, la calidad de la piel, el rendimiento físico y algunos marcadores relacionados con el envejecimiento saludable.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=TESAMORELIN,,FALSE
BC10,BPC-157 10mg,peptides,400000,,100,El BPC-157 es un péptido regenerativo derivado de una proteína protectora presente en el sistema digestivo. Es conocido principalmente por su capacidad para apoyar la reparación y recuperación de tejidos.,https://placehold.co/400x300/f8f9fa/1B3A5C?text=BPC+157,,FALSE
BT10,TB-500 10mg,peptides,400000,,100,"El TB-500 es un péptido regenerativo derivado de la proteína Thymosin Beta-4, conocido por su capacidad para apoyar la reparación celular y la recuperación de tejidos.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=TB500,,FALSE
BB20,BPC-157 10mg + TB-500 10mg,stacks,600000,,100,"La combinación de TB-500 y BPC-157 reúne dos péptidos regenerativos ampliamente utilizados para apoyar la recuperación y reparación de tejidos. Mientras el TB-500 ayuda a mejorar la regeneración celular, movilidad y recuperación muscular, el BPC-157 destaca por su apoyo en la reparación de tendones, ligamentos y sistema digestivo. Juntos pueden potenciar los procesos de recuperación física y disminuir la inflamación de manera más eficiente.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=STACK,,FALSE
CU100,GHK-CU 100mg,peptides,380000,,100,"El GHK-Cu es un péptido bioactivo unido al cobre, conocido por sus propiedades regenerativas y antienvejecimiento. Se encuentra de forma natural en el cuerpo y participa en procesos de reparación y renovación celular.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=GHK-CU,,FALSE
KP10,KPV 10mg,peptides,200000,,100,"El KPV es un péptido antiinflamatorio derivado de la hormona alfa-MSH, conocido por su capacidad para modular procesos inflamatorios y apoyar la salud intestinal y de la piel.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=KPV,,FALSE
P41,PT-141 10mg,peptides,300000,,100,"El PT-141, también conocido como Bremelanotide, es un péptido que actúa sobre los receptores de melanocortina en el sistema nervioso, relacionado principalmente con el deseo y la función sexual.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=PT141,,FALSE
5AM,5-AMINO-1MQ 5mg,peptides,300000,,100,"El 5-Amino-1MQ es un compuesto enfocado en el metabolismo y la composición corporal, conocido por actuar como inhibidor de la enzima NNMT, relacionada con el almacenamiento de grasa y la función metabólica.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=5-AMINO-1MQ,,FALSE
10AM,5-AMINO-1MQ 10mg,peptides,390000,,100,"El 5-Amino-1MQ es un compuesto enfocado en el metabolismo y la composición corporal, conocido por actuar como inhibidor de la enzima NNMT, relacionada con el almacenamiento de grasa y la función metabólica.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=5-AMINO-1MQ,,FALSE
50AM,5-AMINO-1MQ 50mg,peptides,990000,,100,"El 5-Amino-1MQ es un compuesto enfocado en el metabolismo y la composición corporal, conocido por actuar como inhibidor de la enzima NNMT, relacionada con el almacenamiento de grasa y la función metabólica.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=5-AMINO-1MQ,,FALSE
SK10,SELANK 10mg,peptides,200000,,100,"El Selank es un péptido nootrópico y ansiolítico desarrollado para apoyar el equilibrio del sistema nervioso, ayudando a mejorar el estado de ánimo, la concentración y la respuesta al estrés.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=SELANK,,FALSE
XA10,SEMAX 10mg,peptides,200000,,100,"El Semax es un péptido nootrópico y neuroprotector desarrollado para apoyar la función cerebral, la concentración y el rendimiento cognitivo.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=SEMAX,,FALSE
2S10,SS-31 10mg,peptides,420000,,100,"El SS-31 es un péptido mitocondrial diseñado para proteger y optimizar la función de las mitocondrias, las estructuras encargadas de producir energía dentro de las células.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=SS-31,,FALSE
2S50,SS-31 50mg,peptides,1500000,,100,"El SS-31 es un péptido mitocondrial diseñado para proteger y optimizar la función de las mitocondrias, las estructuras encargadas de producir energía dentro de las células.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=SS-31,,FALSE
CBL60,CEREBROLYSIN 60mg,peptides,250000,,100,La Cerebrolysin es una combinación de péptidos neuroactivos y factores neurotróficos diseñada para apoyar la función y protección cerebral.,https://placehold.co/400x300/f8f9fa/1B3A5C?text=Cerebrolysin,,FALSE
MS10,MOTS-C 10mg,peptides,400000,,100,"El MOTS-C es un péptido derivado de las mitocondrias, conocido por su papel en el metabolismo energético y la sensibilidad a la insulina.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=MOTS-C,,FALSE
MS20,MOTS-C 20mg,peptides,700000,,100,"El MOTS-C es un péptido derivado de las mitocondrias, conocido por su papel en el metabolismo energético y la sensibilidad a la insulina.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=MOTS-C,,FALSE
MS40,MOTS-C 40mg,peptides,1200000,,100,"El MOTS-C es un péptido derivado de las mitocondrias, conocido por su papel en el metabolismo energético y la sensibilidad a la insulina.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=MOTS-C,,FALSE
DS10,DSIP 10mg,peptides,280000,,100,"El DSIP es un péptido relacionado con la regulación del sueño y el equilibrio del sistema nervioso, conocido por su potencial apoyo en la calidad del descanso y recuperación.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=DSIP,,FALSE
CP10,CJC-1295 + IPAMORELIN 10mg,stacks,500000,,100,"La combinación de CJC-1295 + Ipamorelin reúne dos péptidos enfocados en estimular de manera natural la liberación de hormona de crecimiento. El CJC-1295 ayuda a prolongar y potenciar la señal de liberación de GH, mientras que el Ipamorelin estimula esa liberación de forma más selectiva y con menor impacto sobre cortisol y prolactina. Juntos son ampliamente utilizados para recuperación, composición corporal y rendimiento físico.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=STACK,,FALSE
BBG70,GLOW (GHK-Cu 50mg + TB-500 10mg + BPC-157 10mg),stacks,500000,,100,"La combinación GLOW reúne tres péptidos regenerativos y reparadores: GHK-Cu, TB-500 y BPC-157, diseñados para apoyar la recuperación celular, la regeneración de tejidos y la salud de la piel. El GHK-Cu destaca por sus beneficios antienvejecimiento y regenerativos, mientras que el TB-500 y el BPC-157 ayudan a potenciar la recuperación muscular, articular y de tejidos blandos. Juntos crean una combinación enfocada en reparación, recuperación y bienestar integral.",https://placehold.co/400x300/f8f9fa/1B3A5C?text=GLOW,,FALSE
